scope,profile_id,feature,n,mean,sd,bootstrap_low,bootstrap_high
all,P1,char_count,100,1558.34,749.5094,1417.8247,1707.261
all,P1,token_proxy_count,100,729.71,390.2495,654.8585,807.1027
all,P1,sentence_count,100,28.74,27.1325,23.5,34.08
all,P1,avg_chars_per_sentence,100,207.948,313.2296,149.0453,272.4534
all,P1,heading_count,100,2.42,4.1443,1.65,3.27
all,P1,list_item_count,100,2.89,5.4752,1.88,3.99
all,P1,formula_marker_count,100,16.68,25.9673,11.9598,22.0602
all,P1,code_block_count,100,0.31,0.7205,0.18,0.46
all,P1,code_line_count,100,12.11,29.7871,6.78,18.19
all,P1,node_count,100,1.4,2.8141,0.91,1.96
all,P1,edge_count,100,1.2,2.4121,0.78,1.68
all,P1,resource_item_count,100,1.6,2.0695,1.2,2.02
all,P1,jargon_marker_count,100,1.83,2.5468,1.35,2.35
all,P1,citation_count,100,1.2,2.4121,0.72,1.68
all,P2,char_count,100,1664.53,753.4444,1519.0475,1816.9367
all,P2,token_proxy_count,100,757.07,396.7523,681.1495,838.6403
all,P2,sentence_count,100,32.38,29.8707,26.8197,38.4207
all,P2,avg_chars_per_sentence,100,199.0966,290.6944,144.5771,259.2686
all,P2,heading_count,100,2.41,3.8927,1.7,3.21
all,P2,list_item_count,100,3.0,5.8327,1.95,4.2
all,P2,formula_marker_count,100,20.88,29.7723,15.57,27.0
all,P2,code_block_count,100,0.25,0.5573,0.15,0.36
all,P2,code_line_count,100,13.67,31.1448,8.03,20.1202
all,P2,node_count,100,1.2,2.4121,0.78,1.68
all,P2,edge_count,100,1.0,2.0101,0.65,1.4
all,P2,resource_item_count,100,1.6,2.0695,1.2,2.02
all,P2,jargon_marker_count,100,2.7,2.8338,2.16,3.28
all,P2,citation_count,100,1.2,2.4121,0.72,1.68
all,P3,char_count,100,1652.79,731.7437,1512.1617,1797.9005
all,P3,token_proxy_count,100,740.54,360.6377,671.5577,811.751
all,P3,sentence_count,100,34.08,27.2114,28.78,39.3502
all,P3,avg_chars_per_sentence,100,174.1841,253.0155,127.703,226.1924
all,P3,heading_count,100,2.49,4.2486,1.7098,3.35
all,P3,list_item_count,100,3.12,5.5273,2.09,4.24
all,P3,formula_marker_count,100,19.42,27.4116,14.55,25.2602
all,P3,code_block_count,100,0.24,0.5341,0.14,0.35
all,P3,code_line_count,100,13.86,32.7781,7.9398,20.6207
all,P3,node_count,100,1.0,2.0101,0.65,1.4
all,P3,edge_count,100,0.8,1.6081,0.52,1.12
all,P3,resource_item_count,100,1.6,2.0695,1.2,2.02
all,P3,jargon_marker_count,100,4.78,5.2658,3.8,5.86
all,P3,citation_count,100,1.2,2.4121,0.72,1.68
reading,P1,char_count,20,1751.05,147.1646,1688.3,1815.1012
