triplet_id,course_name,topic,agent_id,profile_id,char_count,token_proxy_count,sentence_count,avg_chars_per_sentence,heading_count,list_item_count,formula_marker_count,code_block_count,code_line_count,node_count,edge_count,resource_item_count,jargon_marker_count,citation_count
E1-T-3fc789aa833a,机器学习,PCA 主成分分析,quiz,P2,1058.0,568.0,28.0,37.785714285714285,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-3fc789aa833a,机器学习,PCA 主成分分析,quiz,P3,1567.0,819.0,38.0,41.23684210526316,2.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-3fc789aa833a,机器学习,PCA 主成分分析,quiz,P1,1679.0,707.0,38.0,44.18421052631579,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-71547505f5da,机器学习,决策树剪枝,quiz,P3,2033.0,966.0,24.0,84.70833333333333,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0
E1-T-71547505f5da,机器学习,决策树剪枝,quiz,P1,1064.0,420.0,21.0,50.666666666666664,5.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
E1-T-71547505f5da,机器学习,决策树剪枝,quiz,P2,2615.0,1087.0,39.0,67.05128205128206,0.0,7.0,29.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0
E1-T-53cab9e99cd0,数据结构与算法,Dijkstra 最短路径,path,P2,784.0,516.0,1.0,784.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,7.0,0.0
E1-T-53cab9e99cd0,数据结构与算法,Dijkstra 最短路径,path,P3,660.0,443.0,1.0,660.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,15.0,0.0
E1-T-53cab9e99cd0,数据结构与算法,Dijkstra 最短路径,path,P1,866.0,580.0,1.0,866.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-86d728e6504c,数据结构与算法,拓扑排序,quiz,P1,983.0,470.0,14.0,70.21428571428571,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
