analysis,group_type,group_key,triplet_count,task_cluster_count,metric,numerator,denominator,estimate,conventional_ci_method,conventional_ci_95_low,conventional_ci_95_high,task_cluster_ci_95_low,task_cluster_ci_95_high,bootstrap_samples,random_seed_base
A-only,overall,ALL,100,20,FM,49,100,0.49,Wilson score,0.39422,0.58652,0.43,0.55,10000,20260813
A-only,overall,ALL,100,20,POA,187,300,0.623333,triplet bootstrap,0.536667,0.703333,0.583333,0.663333,10000,20260813
A-only,overall,ALL,100,20,EC,64,100,0.64,Wilson score,0.542354,0.727288,0.58,0.7,10000,20260813
A-only,overall,ALL,100,20,ER,36,100,0.36,Wilson score,0.272712,0.457646,0.3,0.42,10000,20260813
A-only,overall,ALL,100,20,QG-FM,48,100,0.48,Wilson score,0.384646,0.576834,0.42,0.54,10000,20260813
A-only,agent,reading,20,20,FM,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
A-only,agent,reading,20,20,POA,60,60,1.0,triplet bootstrap,1.0,1.0,1.0,1.0,10000,20260813
A-only,agent,reading,20,20,EC,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
A-only,agent,reading,20,20,ER,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
A-only,agent,reading,20,20,QG-FM,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
A-only,agent,quiz,20,20,FM,17,20,0.85,Wilson score,0.639581,0.947631,0.7,1.0,10000,20260813
A-only,agent,quiz,20,20,POA,57,60,0.95,triplet bootstrap,0.9,1.0,0.9,1.0,10000,20260813
A-only,agent,quiz,20,20,EC,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
A-only,agent,quiz,20,20,ER,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
A-only,agent,quiz,20,20,QG-FM,17,20,0.85,Wilson score,0.639581,0.947631,0.7,1.0,10000,20260813
A-only,agent,doc,20,20,FM,4,20,0.2,Wilson score,0.080658,0.416017,0.05,0.4,10000,20260813
A-only,agent,doc,20,20,POA,32,60,0.533333,triplet bootstrap,0.4,0.683333,0.4,0.666667,10000,20260813
A-only,agent,doc,20,20,EC,11,20,0.55,Wilson score,0.342085,0.741802,0.35,0.75,10000,20260813
A-only,agent,doc,20,20,ER,9,20,0.45,Wilson score,0.258198,0.657915,0.25,0.65,10000,20260813
A-only,agent,doc,20,20,QG-FM,4,20,0.2,Wilson score,0.080658,0.416017,0.05,0.4,10000,20260813
A-only,agent,code,20,20,FM,8,20,0.4,Wilson score,0.218807,0.613418,0.2,0.6,10000,20260813
A-only,agent,code,20,20,POA,38,60,0.633333,triplet bootstrap,0.466667,0.783333,0.466667,0.783333,10000,20260813
A-only,agent,code,20,20,EC,13,20,0.65,Wilson score,0.432854,0.818808,0.45,0.85,10000,20260813
A-only,agent,code,20,20,ER,7,20,0.35,Wilson score,0.181192,0.567146,0.15,0.55,10000,20260813
A-only,agent,code,20,20,QG-FM,7,20,0.35,Wilson score,0.181192,0.567146,0.15,0.55,10000,20260813
A-only,agent,path,20,20,FM,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
A-only,agent,path,20,20,POA,0,60,0.0,triplet bootstrap,0.0,0.0,0.0,0.0,10000,20260813
A-only,agent,path,20,20,EC,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
A-only,agent,path,20,20,ER,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
A-only,agent,path,20,20,QG-FM,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
B-only,overall,ALL,100,20,FM,74,100,0.74,Wilson score,0.64629,0.815953,0.67,0.81,10000,20260813
B-only,overall,ALL,100,20,POA,267,300,0.89,triplet bootstrap,0.846667,0.926667,0.856667,0.923333,10000,20260813
B-only,overall,ALL,100,20,EC,94,100,0.94,Wilson score,0.875232,0.972214,0.89,0.98,10000,20260813
B-only,overall,ALL,100,20,ER,6,100,0.06,Wilson score,0.027786,0.124768,0.02,0.11,10000,20260813
B-only,overall,ALL,100,20,QG-FM,73,100,0.73,Wilson score,0.635679,0.807304,0.66,0.8,10000,20260813
B-only,agent,reading,20,20,FM,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
B-only,agent,reading,20,20,POA,60,60,1.0,triplet bootstrap,1.0,1.0,1.0,1.0,10000,20260813
B-only,agent,reading,20,20,EC,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
B-only,agent,reading,20,20,ER,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
B-only,agent,reading,20,20,QG-FM,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
B-only,agent,quiz,20,20,FM,17,20,0.85,Wilson score,0.639581,0.947631,0.7,1.0,10000,20260813
B-only,agent,quiz,20,20,POA,57,60,0.95,triplet bootstrap,0.883333,1.0,0.9,1.0,10000,20260813
B-only,agent,quiz,20,20,EC,20,20,1.0,Wilson score,0.838875,1.0,1.0,1.0,10000,20260813
B-only,agent,quiz,20,20,ER,0,20,0.0,Wilson score,0.0,0.161125,0.0,0.0,10000,20260813
B-only,agent,quiz,20,20,QG-FM,17,20,0.85,Wilson score,0.639581,0.947631,0.7,1.0,10000,20260813
B-only,agent,doc,20,20,FM,9,20,0.45,Wilson score,0.258198,0.657915,0.25,0.65,10000,20260813
B-only,agent,doc,20,20,POA,47,60,0.783333,triplet bootstrap,0.683333,0.883333,0.683333,0.866667,10000,20260813
B-only,agent,doc,20,20,EC,18,20,0.9,Wilson score,0.698966,0.972134,0.75,1.0,10000,20260813
B-only,agent,doc,20,20,ER,2,20,0.1,Wilson score,0.027866,0.301034,0.0,0.25,10000,20260813
B-only,agent,doc,20,20,QG-FM,9,20,0.45,Wilson score,0.258198,0.657915,0.25,0.65,10000,20260813
B-only,agent,code,20,20,FM,8,20,0.4,Wilson score,0.218807,0.613418,0.2,0.6,10000,20260813
