analysis_level,group_type,group_key,metric,n_pairs,deepseek_numerator,deepseek_estimate,qwen_numerator,qwen_estimate,qwen_minus_deepseek,paired_bootstrap_ci_95_low,paired_bootstrap_ci_95_high,both_positive,both_negative,qwen_only_positive,deepseek_only_positive,paired_outcome_stability_rate,exact_mcnemar_p,lower_is_better,bootstrap_samples
triplet,overall,ALL,FM,30,29,0.9666666666666667,28,0.9333333333333333,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,27,0,1,2,0.9,1.0,False,10000
triplet,overall,ALL,EC,30,30,1.0,30,1.0,0.0,0.0,0.0,30,0,0,0,1.0,,False,10000
triplet,overall,ALL,quality_eligible,30,22,0.7333333333333333,24,0.8,0.06666666666666667,-0.06749999999999924,0.23333333333333334,20,4,4,2,0.8,0.6875,False,10000
triplet,overall,ALL,QG-FM,30,21,0.7,23,0.7666666666666667,0.06666666666666667,-0.1,0.23333333333333334,18,4,5,3,0.7333333333333333,0.7265625,False,10000
triplet,overall,ALL,QG-EC,30,22,0.7333333333333333,24,0.8,0.06666666666666667,-0.1,0.23333333333333334,20,4,4,2,0.8,0.6875,False,10000
triplet,overall,ALL,POA,30,,0.9889,,0.9778,-0.011099999999999999,-0.055499999999999994,0.022199999999999998,,27,1,2,0.9,1.0,False,10000
triplet,agent,code,FM,10,9,0.9,8,0.8,-0.1,-0.4,0.2,7,0,1,2,0.7,1.0,False,10000
triplet,agent,code,EC,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,code,quality_eligible,10,4,0.4,5,0.5,0.1,-0.2,0.4,3,4,2,1,0.7,1.0,False,10000
triplet,agent,code,QG-FM,10,3,0.3,4,0.4,0.1,-0.3,0.5,1,4,3,2,0.5,1.0,False,10000
triplet,agent,code,QG-EC,10,4,0.4,5,0.5,0.1,-0.2,0.4,3,4,2,1,0.7,1.0,False,10000
triplet,agent,code,POA,10,,0.9667,,0.9334,-0.033299999999999996,-0.13319999999999999,0.06659999999999999,,7,1,2,0.7,1.0,False,10000
triplet,agent,doc,FM,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,doc,EC,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,doc,quality_eligible,10,8,0.8,9,0.9,0.1,-0.2,0.4,7,0,2,1,0.7,1.0,False,10000
triplet,agent,doc,QG-FM,10,8,0.8,9,0.9,0.1,-0.2,0.4,7,0,2,1,0.7,1.0,False,10000
triplet,agent,doc,QG-EC,10,8,0.8,9,0.9,0.1,-0.2,0.4,7,0,2,1,0.7,1.0,False,10000
triplet,agent,doc,POA,10,,1.0,,1.0,0.0,0.0,0.0,,10,0,0,1.0,,False,10000
triplet,agent,path,FM,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,path,EC,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,path,quality_eligible,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,path,QG-FM,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,path,QG-EC,10,10,1.0,10,1.0,0.0,0.0,0.0,10,0,0,0,1.0,,False,10000
triplet,agent,path,POA,10,,1.0,,1.0,0.0,0.0,0.0,,10,0,0,1.0,,False,10000
domain_output,overall,ALL,factual_pass,90,65,0.7222222222222222,64,0.7111111111111111,-0.011111111111111112,-0.12222222222222222,0.1,51,12,13,14,0.7,1.0,False,10000
domain_output,overall,ALL,major_error,90,7,0.07777777777777778,9,0.1,0.022222222222222223,-0.05555555555555555,0.1,1,75,8,6,0.8444444444444444,0.79052734375,True,10000
domain_output,overall,ALL,quality_floor_pass,90,81,0.9,81,0.9,0.0,-0.08888888888888889,0.08888888888888889,73,1,8,8,0.8222222222222222,1.0,False,10000
domain_output,overall,ALL,answer_consistency,30,23,0.7666666666666667,17,0.5666666666666667,-0.2,-0.43333333333333335,0.06666666666666667,12,2,5,11,0.4666666666666667,0.210113525390625,False,10000
domain_output,overall,ALL,structurally_valid,30,29,0.9666666666666667,26,0.8666666666666667,-0.1,-0.23333333333333334,0.0,26,1,0,3,0.9,0.25,False,10000
domain_output,agent,code,factual_pass,30,13,0.43333333333333335,13,0.43333333333333335,0.0,-0.26666666666666666,0.26666666666666666,5,9,8,8,0.4666666666666667,1.0,False,10000
domain_output,agent,code,major_error,30,7,0.23333333333333334,7,0.23333333333333334,0.0,-0.23333333333333334,0.23333333333333334,1,17,6,6,0.6,1.0,True,10000
domain_output,agent,code,quality_floor_pass,30,23,0.7666666666666667,23,0.7666666666666667,0.0,-0.23333333333333334,0.23333333333333334,17,1,6,6,0.6,1.0,False,10000
domain_output,agent,code,answer_consistency,30,23,0.7666666666666667,17,0.5666666666666667,-0.2,-0.43333333333333335,0.06666666666666667,12,2,5,11,0.4666666666666667,0.210113525390625,False,10000
domain_output,agent,code,structurally_valid,30,29,0.9666666666666667,26,0.8666666666666667,-0.1,-0.23333333333333334,0.0,26,1,0,3,0.9,0.25,False,10000
domain_output,agent,doc,factual_pass,30,22,0.7333333333333333,21,0.7,-0.03333333333333333,-0.23333333333333334,0.16666666666666666,16,3,5,6,0.6333333333333333,1.0,False,10000
domain_output,agent,doc,major_error,30,0,0.0,2,0.06666666666666667,0.06666666666666667,0.0,0.16666666666666666,0,28,2,0,0.9333333333333333,0.5,True,10000
domain_output,agent,doc,quality_floor_pass,30,28,0.9333333333333333,28,0.9333333333333333,0.0,-0.13333333333333333,0.13333333333333333,26,0,2,2,0.8666666666666667,1.0,False,10000
domain_output,agent,path,factual_pass,30,30,1.0,30,1.0,0.0,0.0,0.0,30,0,0,0,1.0,,False,10000
domain_output,agent,path,major_error,30,0,0.0,0,0.0,0.0,0.0,0.0,0,30,0,0,1.0,,True,10000
domain_output,agent,path,quality_floor_pass,30,30,1.0,30,1.0,0.0,0.0,0.0,30,0,0,0,1.0,,False,10000
